#
#            Case A.S1       Station=  3
#            X= -12.7 mm      Tunnel Run#= 634   Ue/Uref=   0.996      Date= 427.88  Time=12.57
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  1.000   0.00   0.00   0.00  -2.50   2.72   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.556  0.015  0.369  15.99   3.17  20.78  -1.83   1.95  -8.39  -2.83 -0.37 -7.15  1.11 -0.09  2.13  5.32  0.36  6.08 -1.15
 3  0.38  0.593  0.015  0.334  14.55   4.10  17.45  -1.95   2.10  -6.23  -1.21 -0.58 -4.67  1.25  1.05  1.63  3.50  0.58  5.43 -0.92
 4  0.51  0.620  0.005  0.306  13.29   4.05  15.79  -2.01   2.26  -5.02  -1.34 -0.66 -2.97  0.96  0.59  1.59  2.48  0.66  4.14 -0.82
 5  0.63  0.639  0.007  0.283  12.73   4.24  14.56  -2.19   2.29  -4.43  -1.23 -0.70 -2.07  0.97  0.83  1.17  1.35  0.60  3.27 -0.58
 6  0.76  0.653  0.007  0.269  12.34   4.23  14.19  -2.33   2.54  -4.57  -1.02 -0.49 -2.65  0.98  0.75  1.54  1.82  0.92  3.32 -0.71
 7  1.02  0.675  0.006  0.245  12.06   4.33  13.18  -2.38   2.31  -4.39  -1.25 -0.69 -1.80  0.94  1.02  1.34  1.43  0.63  2.62 -0.47
 8  1.27  0.695  0.008  0.226  11.72   4.24  12.87  -2.43   2.48  -4.47  -1.71 -0.71 -2.21  1.11  1.08  1.66  1.87  0.84  2.93 -0.72
 9  1.52  0.712  0.008  0.211  11.32   4.24  12.45  -2.31   2.45  -4.40  -1.23 -0.79 -2.09  1.04  1.08  1.77  1.59  0.93  3.21 -0.69
10  1.78  0.725  0.007  0.196  10.82   4.15  11.62  -2.38   2.47  -4.19  -1.54 -0.68 -2.15  1.08  0.80  1.54  1.70  0.86  3.70 -0.70
11  2.03  0.734  0.009  0.186  10.98   4.30  11.51  -2.46   2.69  -4.50  -2.23 -1.00 -2.14  1.41  1.24  1.84  2.04  1.18  2.87 -0.97
12  2.29  0.745  0.008  0.179  10.64   4.16  10.97  -2.49   2.52  -4.25  -2.46 -0.89 -1.88  1.45  0.95  1.61  1.97  0.99  2.80 -0.92
13  2.54  0.755  0.008  0.169  10.15   4.17  10.87  -2.33   2.50  -4.19  -2.42 -0.89 -2.00  1.32  0.82  1.77  1.70  0.98  3.48 -0.88
14  2.79  0.760  0.009  0.165   9.91   4.28  10.68  -2.48   2.53  -4.24  -2.51 -0.93 -2.53  1.41  0.94  1.79  2.04  1.04  3.48 -0.99
15  3.30  0.770  0.007  0.153   9.45   4.25   9.79  -2.28   2.40  -3.74  -2.15 -0.75 -1.54  1.21  0.71  1.42  1.63  0.94  2.52 -0.83
18  3.81  0.779  0.010  0.147   9.24   4.45   9.48  -2.49   2.57  -3.86  -1.94 -0.87 -1.67  1.13  1.02  1.51  1.57  1.05  2.75 -0.80
17  4.32  0.788  0.011  0.141   8.77   4.61   9.20  -2.44   2.50  -3.47  -2.20 -0.88 -1.37  1.29  0.97  1.66  1.41  1.08  2.84 -0.83
19  4.83  0.797  0.010  0.134   8.39   4.51   8.82  -2.39   2.54  -3.45  -1.93 -0.89 -1.01  1.14  1.04  1.37  1.16  1.11  2.55 -0.76
20  5.59  0.803  0.011  0.129   7.92   4.67   8.17  -2.23   2.33  -2.79  -1.66 -0.70 -1.00  0.91  1.16  1.33  1.00  0.97  2.67 -0.57
21  6.35  0.810  0.010  0.124   7.47   4.56   7.90  -2.33   2.34  -2.67  -1.72 -0.80 -1.07  0.94  1.06  1.19  1.28  1.02  2.29 -0.71
22  7.11  0.824  0.010  0.118   7.41   4.80   7.52  -2.41   2.29  -2.50  -1.87 -0.88 -0.81  1.10  1.25  1.03  1.00  0.90  1.67 -0.62
23  8.38  0.835  0.011  0.110   6.99   4.45   6.90  -2.19   2.21  -2.31  -1.56 -0.58 -0.52  0.64  0.99  0.72  0.90  0.62  1.45 -0.36
24 10.16  0.854  0.014  0.099   6.32   4.29   6.65  -2.05   2.06  -2.02  -1.64 -0.57 -0.72  0.73  1.06  0.85  0.80  0.79  1.29 -0.45
25 12.70  0.876  0.014  0.081   5.79   3.79   5.84  -1.79   1.77  -1.71  -1.49 -0.61 -0.74  0.67  1.01  0.72  0.61  0.67  1.64 -0.36
26 15.24  0.897  0.014  0.064   5.03   3.25   5.05  -1.61   1.59  -1.42  -1.70 -0.69 -0.67  0.75  1.06  0.79  0.67  0.72  1.55 -0.38
27 17.78  0.923  0.018  0.048   4.50   2.92   4.35  -1.43   1.34  -1.31  -1.77 -0.68 -0.78  0.78  0.98  0.79  0.71  0.66  1.59 -0.36
28 20.32  0.949  0.015  0.028   3.39   2.40   3.38  -1.06   1.04  -1.09  -1.87 -0.67 -0.84  0.71  1.05  0.78  0.70  0.71  1.70 -0.38
29 22.86  0.971  0.010  0.008   2.23   1.59   2.11  -0.72   0.60  -0.75  -1.71 -0.60 -0.77  0.71  0.74  0.65  0.65  0.47  1.41 -0.34
