#
#            Case D.S1       Station= 10
#            X= 152.4 mm      Tunnel Run#= 774   Ue/Uref=   0.752      Date= 616.88  Time=11.40
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.55  -0.18   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
13  0.25  0.202  0.003  0.055   6.09   0.57   4.06  -0.51  -0.20   0.59   1.72  0.10  1.75 -0.06  0.38  0.00 -0.42  0.04 -0.89 -0.03
 2  0.38  0.235  0.002  0.064   6.30   0.66   4.66  -0.61  -0.16   0.02   1.91  0.08  2.24  0.00  0.05  0.04 -1.00 -0.01 -2.06  0.00
 3  0.51  0.257  0.003  0.072   6.22   0.92   4.67  -0.71  -0.26   0.20   1.37  0.07  1.55  0.01  0.07  0.12 -0.65 -0.01 -1.16  0.06
 4  0.63  0.272  0.003  0.075   5.98   1.15   4.66  -0.80  -0.25   0.21   1.10  0.05  1.31  0.00  0.20  0.09 -0.33 -0.02 -0.84  0.01
 5  0.76  0.282  0.003  0.078   5.84   1.30   4.36  -0.82  -0.21   0.09   0.96  0.07  0.85  0.02  0.09  0.13 -0.30 -0.01 -0.18  0.02
 6  1.02  0.301  0.003  0.082   5.66   1.47   4.24  -0.89  -0.17   0.00   1.01  0.06  0.83 -0.01  0.06  0.04 -0.24 -0.06 -0.35  0.05
 7  1.27  0.314  0.004  0.085   5.83   1.67   4.50  -1.00  -0.12   0.01   0.90  0.12  0.87 -0.04  0.16  0.17 -0.26 -0.01 -0.18  0.06
 8  1.52  0.325  0.004  0.087   5.88   1.80   4.54  -1.03  -0.12  -0.11   0.75  0.06  0.85 -0.03  0.14  0.09 -0.23  0.00 -0.24  0.04
 9  1.78  0.334  0.005  0.088   5.92   1.96   4.67  -1.13  -0.14  -0.12   0.99  0.17  0.89 -0.12  0.15  0.04 -0.17 -0.06 -0.37  0.03
10  2.03  0.341  0.006  0.090   6.11   1.98   4.49  -1.12  -0.05  -0.18   1.00  0.15  0.67 -0.12 -0.02  0.09 -0.09 -0.04 -0.23  0.06
11  2.29  0.352  0.006  0.091   5.94   2.10   4.62  -1.13  -0.04  -0.36   0.84  0.11  0.60 -0.03 -0.01  0.11 -0.11 -0.02 -0.43  0.09
14  2.54  0.361  0.005  0.093   6.10   2.19   4.65  -1.23   0.03  -0.27   0.66  0.07  0.61 -0.02  0.02  0.12 -0.13 -0.07 -0.37  0.07
15  2.79  0.369  0.006  0.094   6.18   2.27   4.61  -1.28   0.02  -0.32   0.70  0.06  0.51  0.00  0.19  0.10 -0.04 -0.07 -0.24  0.08
16  3.30  0.381  0.007  0.095   6.30   2.36   4.72  -1.39   0.06  -0.34   0.57  0.15  0.69 -0.07  0.17  0.06 -0.09 -0.08 -0.07  0.12
17  3.81  0.391  0.007  0.094   6.36   2.42   4.65  -1.36   0.13  -0.30   0.59  0.12  0.53 -0.04 -0.05  0.05 -0.06 -0.04 -0.02  0.09
18  4.32  0.401  0.009  0.095   6.15   2.55   4.82  -1.41   0.20  -0.45   0.60  0.18  0.38 -0.10 -0.09  0.11 -0.06 -0.01 -0.02  0.07
19  4.83  0.411  0.010  0.095   6.24   2.61   4.80  -1.39   0.20  -0.37   0.19  0.09  0.33  0.06  0.06  0.00 -0.05  0.00 -0.11  0.04
20  5.59  0.428  0.011  0.096   6.23   2.63   4.86  -1.44   0.24  -0.40   0.32  0.14  0.33  0.06 -0.01  0.04  0.00 -0.06 -0.07  0.09
21  6.35  0.442  0.013  0.097   6.13   2.72   5.00  -1.44   0.28  -0.49   0.10  0.04  0.50  0.02  0.04  0.02  0.02 -0.05 -0.28  0.10
22  7.11  0.455  0.014  0.097   6.11   2.72   5.05  -1.38   0.42  -0.58   0.08  0.02  0.38  0.16  0.03  0.08 -0.08 -0.10 -0.20  0.07
23  8.38  0.473  0.016  0.098   5.85   2.91   5.05  -1.42   0.51  -0.57  -0.13  0.04  0.40  0.18  0.01  0.04  0.09 -0.09 -0.29  0.06
24 10.16  0.498  0.020  0.100   5.96   3.07   5.24  -1.32   0.56  -0.49   0.00  0.02  0.29  0.23 -0.02  0.06  0.06 -0.10 -0.20  0.09
25 12.70  0.525  0.023  0.101   5.34   3.27   5.38  -1.26   0.86  -0.60   0.24  0.04  0.20  0.14 -0.05  0.12 -0.05 -0.02  0.02  0.09
26 15.24  0.546  0.028  0.099   5.22   3.34   5.33  -1.19   0.97  -0.48   0.26  0.16  0.16  0.01  0.03  0.12  0.01  0.10  0.00  0.01
27 17.78  0.565  0.032  0.095   5.37   3.45   5.27  -1.26   1.11  -0.57   0.19  0.09  0.20 -0.08  0.11  0.03 -0.01  0.00 -0.18  0.03
28 20.32  0.584  0.036  0.091   5.27   3.52   5.30  -1.23   1.20  -0.63   0.08  0.08  0.30  0.03  0.24  0.01 -0.02  0.09 -0.10  0.03
29 22.86  0.597  0.039  0.083   5.40   3.37   5.08  -1.31   1.18  -0.61  -0.20 -0.03  0.11  0.05  0.29  0.12 -0.07  0.16  0.03  0.03
30 25.40  0.618  0.042  0.076   5.36   3.40   5.04  -1.36   1.35  -0.74  -0.26 -0.13 -0.10  0.17  0.44  0.20  0.00  0.24  0.24 -0.06
31 27.94  0.631  0.047  0.070   5.34   3.19   4.91  -1.28   1.16  -0.75  -0.61 -0.27 -0.14  0.25  0.45  0.22  0.09  0.25  0.48 -0.13
32 30.48  0.649  0.050  0.061   5.07   3.06   4.71  -1.20   1.07  -0.77  -0.74 -0.33 -0.22  0.33  0.60  0.39  0.17  0.34  0.66 -0.16
33 33.02  0.666  0.052  0.050   4.78   2.81   4.26  -1.09   0.93  -0.71  -1.25 -0.39 -0.35  0.43  0.59  0.45  0.31  0.36  0.98 -0.13
43 35.56  0.693  0.045  0.030   3.89   2.03   3.22  -0.87   0.70  -0.87  -1.89 -0.49 -0.36  0.62  0.60  0.48  0.43  0.41  0.90 -0.21
44 38.10  0.710  0.048  0.022   3.14   1.73   2.67  -0.68   0.51  -0.74  -1.64 -0.53 -0.48  0.52  0.54  0.42  0.51  0.38  1.03 -0.21
45 40.64  0.722  0.050  0.013   2.44   1.44   2.03  -0.51   0.43  -0.56  -1.56 -0.39 -0.47  0.44  0.55  0.37  0.47  0.35  0.93 -0.15
37 45.72  0.748  0.053  0.000   0.95   0.81   0.90  -0.21   0.18  -0.22  -0.58 -0.18 -0.14  0.19  0.36  0.21  0.23  0.17  0.34 -0.09
38 50.80  0.751  0.056 -0.004   0.38   0.48   0.47  -0.08   0.07  -0.05  -0.08 -0.08  0.04  0.08  0.21  0.07  0.07  0.08  0.16 -0.02
39 55.88  0.752  0.063 -0.004   0.17   0.50   0.27   0.00   0.01   0.00   0.01  0.00  0.05  0.01  0.04  0.01  0.02  0.01  0.06  0.00
40 60.96  0.753  0.064 -0.005   0.11   0.41   0.23   0.00   0.00   0.01   0.03  0.00  0.09  0.00  0.01  0.00  0.00  0.00  0.01  0.00
41 66.04  0.751  0.000 -0.005   0.09   0.00   0.23   0.00   0.00   0.02   0.03  0.00  0.09  0.00  0.00  0.00  0.01  0.00  0.02  0.00
42 71.12  0.753  0.000 -0.004   0.11   0.00   0.31   0.00   0.00   0.01   0.05  0.00  0.16  0.00  0.00  0.00 -0.02  0.00 -0.06  0.00
