#
#            Case A.S1       Station= 12
#            X= 457.2 mm      Tunnel Run#= 643   Ue/Uref=   0.990      Date= 428.88  Time=16.31
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.55  -0.12   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.485  0.013  0.044  12.98   1.18   5.63  -1.05  -0.06   0.65  -2.14  0.07  0.62  0.46 -0.10  0.20 -0.21  0.03 -0.69  0.02
 3  0.38  0.543  0.014  0.048  10.44   1.59   4.99  -1.14  -0.08   0.38  -2.44 -0.07  0.26  0.61  0.49  0.17 -0.06 -0.05 -0.42  0.12
 4  0.51  0.577  0.005  0.053   9.42   1.58   4.90  -1.32  -0.05   0.16  -1.54 -0.17  0.33  0.60  0.05  0.14  0.03  0.02  0.04  0.06
 5  0.63  0.596  0.006  0.055   8.47   1.79   4.70  -1.39  -0.14   0.23  -0.98 -0.25  0.14  0.61  0.12  0.14  0.02 -0.01  0.10  0.03
 6  0.76  0.613  0.004  0.055   7.99   1.86   4.59  -1.44  -0.10   0.18  -0.51 -0.23  0.16  0.48  0.18  0.16 -0.31 -0.02  0.07  0.12
 7  1.02  0.637  0.005  0.058   7.23   1.99   4.53  -1.34  -0.06   0.13  -0.08 -0.19  0.12  0.29  0.17  0.17 -0.07 -0.01 -0.02  0.04
 8  1.27  0.658  0.006  0.061   7.13   1.99   4.27  -1.39  -0.09   0.03  -0.22 -0.15  0.15  0.32  0.17  0.18 -0.16  0.01  0.09  0.07
 9  1.52  0.673  0.007  0.063   7.03   2.01   4.14  -1.33  -0.06   0.21  -0.02 -0.13  0.13  0.29  0.18  0.21 -0.07  0.00 -0.14  0.06
10  1.78  0.687  0.007  0.063   6.97   2.06   4.02  -1.44  -0.03  -0.03  -0.23 -0.22  0.09  0.29  0.18  0.14 -0.03 -0.01  0.08  0.02
11  2.03  0.698  0.007  0.065   6.75   2.03   3.97  -1.42   0.07  -0.02  -0.19 -0.15  0.09  0.21  0.20  0.19 -0.13  0.02  0.02  0.04
12  2.29  0.711  0.006  0.066   6.65   2.06   3.81  -1.41   0.01  -0.03  -0.31 -0.13  0.07  0.29  0.14  0.17 -0.05 -0.01 -0.15  0.06
13  2.54  0.719  0.007  0.067   6.32   2.07   3.78  -1.36   0.01   0.04  -0.47 -0.18  0.03  0.28  0.24  0.17 -0.01  0.00  0.10  0.02
14  2.79  0.727  0.008  0.069   6.36   2.04   3.79  -1.40   0.02  -0.02  -0.50 -0.11  0.08  0.29  0.10  0.16 -0.11 -0.03 -0.12  0.06
15  3.30  0.743  0.007  0.070   6.06   2.00   3.57  -1.38   0.04   0.01  -0.64 -0.14 -0.04  0.30  0.16  0.17 -0.04 -0.02  0.17  0.05
16  3.81  0.759  0.007  0.070   5.86   2.01   3.71  -1.26   0.12  -0.04  -0.84 -0.14  0.08  0.41  0.13  0.11 -0.06 -0.03 -0.26  0.07
