#
#Skin-Friction Measurements obtained using Clauser Method
#  CASE B.S0 (LDV & Clauser Method)
# ---------------------------------
#  X(mm)  X(in)    Cfx         Cfz
-457.2	-18	0.0032         0
-330.2	-13	0.0032         0
-228.6	-9.0	0.0030         0
-152.4	-6.0	0.0020         0
 -76.2	-3.0	0.00125        0
 -12.7  -0.5	0.00077        0
  12.7   0.5	0.00063        0
 152.4	 6.0	0.00033        0
 228.6	 9.0	0.00033        0
 304.8	 12.0	0.00032        0
