#
#            Case C.S1       Station= 13
#            X= 304.8 mm      Tunnel Run#= 661   Ue/Uref=   0.628      Date= 506.88  Time=17.18
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.28  -0.09   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.130 -0.001  0.032   3.32   0.22   2.26  -0.22  -0.14   0.34   1.24  0.03  0.55 -0.09 -0.01 -0.02  0.15  0.01  0.52 -0.04
 2  0.38  0.152 -0.001  0.038   3.67   0.33   2.50  -0.27  -0.15   0.27   1.14  0.04  0.52 -0.06  0.02  0.00  0.10  0.02  0.36 -0.02
 3  0.51  0.168 -0.001  0.042   3.90   0.45   2.89  -0.32  -0.20   0.22   1.07  0.05  0.62 -0.04  0.03  0.01  0.05  0.01  0.20 -0.04
 4  0.63  0.177 -0.001  0.044   3.89   0.56   3.08  -0.32  -0.17   0.15   1.03  0.04  0.68 -0.05  0.05  0.02 -0.02  0.01  0.11 -0.02
 5  0.76  0.185 -0.001  0.046   3.94   0.64   3.19  -0.35  -0.19   0.10   0.94  0.04  0.67 -0.04 -0.02 -0.01 -0.05  0.02  0.29 -0.03
 6  1.02  0.196 -0.001  0.049   4.08   0.78   3.26  -0.38  -0.19   0.06   1.05  0.09  0.59 -0.06  0.04  0.04  0.00  0.02  0.47 -0.06
 7  1.27  0.208 -0.002  0.052   4.11   0.96   3.50  -0.46  -0.19   0.06   0.76  0.06  0.56 -0.01 -0.02  0.07  0.02  0.01  0.18 -0.03
 8  1.52  0.211 -0.002  0.053   4.15   1.03   3.30  -0.53  -0.15  -0.04   0.93  0.10  0.55 -0.06 -0.07  0.06 -0.16  0.01  0.07 -0.01
 9  1.78  0.215 -0.003  0.054   3.97   1.17   3.31  -0.56  -0.15   0.00   0.88  0.11  0.52 -0.05 -0.12  0.03  0.03  0.00  0.24 -0.01
10  2.03  0.217 -0.002  0.054   4.15   1.30   3.43  -0.55  -0.14  -0.07   0.87  0.12  0.50 -0.12  0.04  0.05 -0.07 -0.01  0.14 -0.01
11  2.29  0.220 -0.002  0.054   4.23   1.32   3.36  -0.59  -0.16   0.07   0.93  0.15  0.65 -0.11 -0.05  0.04  0.12 -0.01  0.36  0.00
12  2.54  0.225 -0.003  0.056   4.36   1.41   3.45  -0.65  -0.14  -0.01   0.78  0.13  0.56 -0.11 -0.12  0.02 -0.05  0.02  0.24  0.00
13  2.79  0.228 -0.003  0.057   4.38   1.47   3.44  -0.65  -0.11  -0.02   0.89  0.16  0.61 -0.12 -0.17  0.01 -0.01 -0.01  0.07 -0.01
14  3.30  0.234 -0.003  0.058   4.40   1.66   3.52  -0.76  -0.09  -0.05   0.90  0.22  0.51 -0.17 -0.15  0.04 -0.04  0.03  0.10 -0.03
15  3.81  0.238 -0.003  0.060   4.64   1.73   3.44  -0.82  -0.07  -0.04   0.88  0.20  0.47 -0.15 -0.22  0.04 -0.04  0.03  0.09 -0.04
16  4.32  0.245 -0.004  0.061   4.62   1.86   3.59  -0.87  -0.07  -0.08   0.68  0.21  0.54 -0.13 -0.21  0.03 -0.08  0.01  0.10  0.02
17  4.83  0.251 -0.005  0.060   4.78   2.03   3.59  -1.01  -0.06  -0.15   0.85  0.26  0.52 -0.19 -0.27  0.02 -0.16 -0.04 -0.01  0.05
18  5.59  0.258 -0.005  0.062   4.90   2.26   3.66  -1.16  -0.05  -0.24   0.72  0.25  0.41 -0.24 -0.28  0.02 -0.18  0.00 -0.05  0.04
19  6.35  0.267 -0.005  0.062   5.06   2.31   3.79  -1.18  -0.02  -0.24   0.87  0.30  0.46 -0.32 -0.29 -0.01 -0.16 -0.04 -0.02  0.05
20  7.11  0.273 -0.005  0.064   5.03   2.50   3.77  -1.27   0.04  -0.26   0.77  0.29  0.41 -0.24 -0.34 -0.03 -0.08 -0.05 -0.10  0.02
21  8.38  0.284 -0.007  0.067   5.43   2.73   3.86  -1.41   0.05  -0.23   0.57  0.28  0.41 -0.16 -0.41  0.03 -0.07 -0.02  0.20  0.04
22 10.16  0.298 -0.006  0.070   5.76   3.04   4.24  -1.66   0.05  -0.24   0.57  0.26  0.40 -0.27 -0.30 -0.04 -0.18 -0.04  0.03  0.11
23 12.70  0.322 -0.007  0.072   5.83   3.17   4.40  -1.73   0.10  -0.36   0.38  0.21  0.38 -0.11 -0.24 -0.05 -0.14  0.02 -0.07  0.07
24 15.24  0.342 -0.007  0.074   6.37   3.34   4.76  -1.94   0.25  -0.53   0.37  0.19  0.38 -0.10 -0.22 -0.07  0.00  0.02 -0.03  0.03
25 17.78  0.357 -0.003  0.079   6.39   3.42   4.75  -2.08   0.40  -0.61   0.11  0.16  0.38 -0.02 -0.10 -0.14  0.06 -0.03 -0.12  0.02
26 20.32  0.385 -0.009  0.080   6.40   3.56   4.96  -2.03   0.46  -0.62  -0.35 -0.09  0.23  0.17  0.12 -0.02 -0.16  0.07  0.05  0.06
27 22.86  0.405 -0.008  0.080   6.38   3.58   4.90  -2.03   0.49  -0.65  -0.51 -0.27  0.07  0.29  0.33  0.04 -0.06  0.06  0.09  0.03
28 25.40  0.427 -0.009  0.079   6.20   3.39   4.97  -1.98   0.66  -0.83  -0.92 -0.25 -0.02  0.36  0.27  0.07  0.12  0.15 -0.07 -0.04
29 27.94  0.446 -0.008  0.078   5.95   3.34   4.98  -1.91   0.69  -0.90  -1.04 -0.30 -0.19  0.38  0.33  0.14  0.27  0.11  0.35 -0.08
30 30.48  0.466 -0.009  0.075   5.87   3.18   4.79  -1.77   0.75  -0.93  -1.26 -0.38 -0.25  0.51  0.53  0.37  0.36  0.24  0.44 -0.11
31 33.02  0.484 -0.007  0.070   5.56   3.13   4.46  -1.74   0.82  -0.89  -1.29 -0.43 -0.39  0.57  0.54  0.28  0.49  0.25  0.69 -0.21
32 35.56  0.504 -0.006  0.065   4.96   2.81   4.21  -1.53   0.76  -0.89  -1.43 -0.49 -0.41  0.53  0.64  0.36  0.42  0.32  1.05 -0.15
