##
##Surface Skin-Friction Direction from Oil-Flow Visualization
##       CASE D.S1
## ---------------------
## X(mm)  X(in)  B(deg)
  40.6	 1.6	21.2
  57.1	 2.25	19.8
  95.3	 3.75	20.5
 130.8	 5.15	17.0
 152.4	 6.0	18.0
 177.8	 7.0	19.0 
  36.8	 1.45	21.0
  50.8	 2.00	21.5
  66.0	 2.60	22.0
  88.9	 3.50	20.0
 120.6	 4.75	19.2
  35.6	 1.40	24.0
  57.1	 2.25	21.0
  73.7	 2.90	20.0
  92.7	 3.65	20.5
 124.5	 4.9	20.0
 142.2	 5.6	22.0
 160.0	 6.3	19.2
 184.1	 7.25	20.5
 203.2	 8.0	21.5
 243.8	 9.6	23.0
 266.7	10.5	22.2
