#
#            Case A.S1       Station=  2
#            X= -152.4 mm      Tunnel Run#= 633   Ue/Uref=   0.996      Date= 427.88  Time=12.09
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  1.000   0.00   0.00   0.00  -2.51   2.73   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.565  0.020  0.344  14.50   3.49  20.60  -1.56   1.29  -7.07  -1.59 -0.20 -5.54  0.78  0.05  1.82  3.96  0.20  5.09 -0.81
 3  0.38  0.599  0.019  0.316  13.67   4.23  17.78  -1.69   1.24  -5.29  -0.53 -0.31 -3.64  0.81  0.32  1.58  1.97  0.03  2.42 -0.56
 4  0.51  0.622  0.004  0.303  13.15   4.14  15.46  -2.17   2.17  -4.80  -1.21 -0.77 -2.88  1.33  0.82  1.70  2.39  0.66  2.63 -0.79
 5  0.63  0.639  0.005  0.284  13.04   4.27  14.56  -2.17   2.20  -4.61  -1.70 -0.67 -2.31  1.01  0.84  1.49  1.72  0.74  2.66 -0.77
 6  0.76  0.658  0.005  0.265  12.03   4.36  14.24  -1.99   2.04  -4.12  -0.98 -0.70 -2.15  0.73  1.21  1.89  1.41  0.65  3.13 -0.41
 7  1.02  0.681  0.005  0.243  11.89   4.26  13.25  -2.05   2.10  -4.52  -1.63 -0.60 -2.06  0.96  0.83  1.62  1.71  0.71  2.47 -0.66
 8  1.27  0.697  0.004  0.223  11.55   4.27  12.82  -2.32   2.42  -4.36  -1.95 -0.76 -1.80  1.18  0.83  1.79  1.53  0.89  2.73 -0.71
 9  1.52  0.715  0.005  0.208  11.17   4.24  12.42  -2.23   2.30  -4.32  -1.30 -0.73 -2.45  1.10  1.03  1.79  1.72  0.86  3.76 -0.82
10  1.78  0.727  0.006  0.195  10.35   4.27  11.87  -2.16   2.33  -4.33  -1.49 -0.64 -2.07  0.93  0.97  1.93  1.63  0.94  3.88 -0.70
11  2.03  0.739  0.006  0.187  10.47   4.29  11.51  -2.28   2.42  -4.43  -2.30 -0.86 -2.41  1.48  0.89  1.77  2.08  0.99  3.52 -0.92
12  2.29  0.751  0.007  0.177  10.29   4.36  11.01  -2.30   2.41  -4.39  -2.01 -0.86 -2.08  1.35  1.01  1.88  2.00  1.14  3.41 -1.01
13  2.54  0.754  0.007  0.172   9.63   4.35  10.66  -2.22   2.49  -3.95  -1.81 -0.88 -1.92  1.29  1.02  1.84  1.64  1.12  2.89 -0.89
14  2.79  0.761  0.006  0.166   9.40   4.30  10.32  -2.23   2.34  -3.92  -1.62 -0.80 -1.80  1.21  0.82  1.55  1.55  0.84  2.77 -0.93
15  3.30  0.772  0.006  0.156   9.31   4.36   9.94  -2.32   2.33  -3.81  -2.22 -1.07 -1.73  1.26  1.07  1.78  1.34  1.10  3.11 -1.00
16  3.81  0.781  0.007  0.149   8.79   4.51   9.54  -2.38   2.49  -3.47  -2.06 -0.92 -1.63  1.30  1.23  1.71  1.45  1.21  3.09 -0.86
17  4.32  0.786  0.007  0.144   8.45   4.68   8.93  -2.27   2.40  -3.26  -1.69 -0.91 -1.43  1.03  1.02  1.52  1.32  0.96  2.86 -0.85
