##
##Surface Skin-Friction Direction from Oil-Flow Visualization
##       CASE C.S1/2
## ---------------------
##  X(mm)  X(in)  B(deg)
  15.9	 0.625	33.8
  19.0	 0.75	33.0
  25.4	 1.00	32.5
  41.3	 1.625	31.8
  50.8	 2.00	30.0
  69.9	 2.75	28.5
  95.3	 3.75	20.5
  12.7	 0.5	37.5
  20.6	 0.81	37.3
  31.75	 1.25	32.1
  47.6	 1.875	29.0
  63.5	 2.5	27.3
  82.6	 3.25	27.6
 104.8	 4.125	22.1
 155.6	 6.125	20.0
 190.5	 7.50	15.4
 266.7	10.50	 9.0
 311.2	12.25	 9.5
 457.2	18.00	 5.8
 508.0	20.00	 5.8
  15.9	 0.625	32.1
  22.2	 0.875	30.5
  28.6	 1.125	30.5
  41.3	 1.625	28.8
  54.0	 2.125	27.5
  76.2	 3.00	25.0
 117.5	 4.625	20.2
 269.9	10.625	10.8
 311.2	12.25	 8.5
 368.3	14.5	 8.4
 400.0	15.75	 5.6
 508.0	20.0	 8.6
  12.7	 0.5	38.5
  25.4	 1.0	34.0
  36.5	 1.44	30.5
  50.8	 2.00	27.5
  76.2	 3.00	22.8
  92.1	 3.625	22.0
 120.7	 4.75	19.5
 139.7	 5.50	18.2
 209.6	 8.25	12.5
 450.9	17.75	10.0
