#
#            Case A.S1       Station=  7
#            X=  50.8 mm      Tunnel Run#= 638   Ue/Uref=   0.996      Date= 428.88  Time=11.18
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.77  -0.56   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.530  0.015  0.136  12.25   1.77   8.31  -1.40  -0.32   1.17  -3.01 -0.01  0.59  0.72  0.50  0.30 -1.33  0.09 -0.19  0.28
 3  0.38  0.576  0.016  0.145  10.34   2.25   8.00  -1.54  -0.23   0.69  -2.27 -0.16  0.26  0.86 -0.03  0.50 -0.56 -0.05 -0.04  0.34
 4  0.51  0.609  0.005  0.153   8.80   2.27   7.90  -1.62  -0.12  -0.02  -0.87 -0.32  0.22  0.66  0.23  0.32 -0.59 -0.09 -0.12  0.31
 5  0.63  0.630  0.005  0.155   8.42   2.49   7.89  -1.74  -0.06  -0.18  -0.56 -0.24  0.56  0.55  0.17  0.29 -0.44 -0.13  0.12  0.34
 6  0.76  0.645  0.006  0.157   8.17   2.69   7.91  -1.76   0.05  -0.69  -0.27 -0.31  0.33  0.51  0.28  0.23 -0.08 -0.18 -0.69  0.27
 7  1.02  0.674  0.005  0.156   7.77   2.89   7.85  -1.71   0.29  -1.04   0.25 -0.24  0.40  0.31  0.35  0.32  0.24 -0.07 -0.57  0.08
 8  1.27  0.694  0.007  0.156   7.46   2.98   7.90  -1.74   0.43  -1.10   0.28 -0.20  0.11  0.38  0.29  0.14  0.07 -0.05 -0.48  0.10
 9  1.52  0.716  0.008  0.153   7.66   2.94   7.99  -1.63   0.61  -1.61   0.55 -0.21  0.12  0.29  0.30  0.16  0.05 -0.12 -0.12  0.20
10  1.78  0.733  0.007  0.152   7.65   3.02   7.99  -1.63   0.88  -1.75   0.03 -0.27  0.20  0.58  0.28  0.22  0.10  0.01 -0.02  0.15
11  2.03  0.743  0.009  0.147   7.46   3.12   7.99  -1.53   1.00  -1.97   0.36 -0.24 -0.15  0.41  0.29  0.46  0.27  0.16  0.51 -0.06
12  2.29  0.756  0.007  0.145   7.26   3.20   7.88  -1.50   1.22  -2.03   0.01 -0.29 -0.39  0.48  0.27  0.37  0.29  0.17  0.58 -0.05
13  2.54  0.764  0.010  0.143   7.13   3.11   8.04  -1.51   1.20  -2.26   0.04 -0.19 -0.30  0.38  0.19  0.27  0.43  0.14  0.61  0.02
14  2.79  0.773  0.009  0.142   7.40   3.24   7.85  -1.52   1.34  -2.28  -0.28 -0.26 -0.38  0.45  0.36  0.42  0.51  0.27  0.71 -0.11
15  3.30  0.779  0.010  0.137   7.02   3.57   7.80  -1.44   1.61  -2.23  -0.14 -0.33 -0.42  0.43  0.36  0.62  0.53  0.38  0.60 -0.16
16  3.81  0.795  0.008  0.132   6.98   3.66   7.86  -1.62   1.74  -2.56  -0.32 -0.28 -0.65  0.52  0.43  0.66  0.53  0.52  1.23 -0.21
17  4.32  0.801  0.008  0.130   6.87   3.74   8.00  -1.61   1.86  -2.49  -0.40 -0.32 -0.80  0.50  0.64  0.70  0.56  0.45  1.51 -0.31
18  4.83  0.807  0.007  0.123   6.73   4.00   7.66  -1.65   1.95  -2.36  -0.56 -0.36 -0.74  0.56  0.67  0.89  0.76  0.78  1.45 -0.38
19  5.59  0.814  0.009  0.122   6.63   4.07   7.45  -1.74   1.96  -2.37  -0.90 -0.48 -0.61  0.57  0.68  0.78  0.65  0.77  1.39 -0.39
20  6.35  0.820  0.009  0.117   6.66   4.25   7.34  -1.95   2.13  -2.32  -1.03 -0.47 -0.75  0.56  0.79  0.82  0.73  0.70  1.48 -0.41
21  7.11  0.826  0.008  0.114   6.72   4.39   7.14  -2.04   2.14  -2.31  -1.16 -0.51 -0.61  0.57  0.83  0.91  0.69  0.74  1.73 -0.49
22  8.38  0.838  0.008  0.109   6.50   4.33   6.84  -1.99   2.03  -2.10  -1.41 -0.55 -0.68  0.71  0.89  1.00  0.76  0.83  1.66 -0.51
23 10.16  0.855  0.009  0.099   6.48   4.20   6.45  -2.08   1.99  -1.86  -1.55 -0.58 -0.60  0.71  0.94  0.76  0.69  0.71  1.47 -0.37
24 12.70  0.877  0.011  0.082   5.76   3.89   5.81  -1.90   1.78  -1.64  -1.65 -0.61 -0.58  0.74  1.06  0.73  0.62  0.72  1.38 -0.38
25 15.24  0.896  0.014  0.069   5.19   3.50   5.15  -1.68   1.63  -1.44  -1.44 -0.65 -0.67  0.71  0.96  0.75  0.61  0.67  1.45 -0.33
26 17.78  0.925  0.013  0.048   4.28   2.89   4.32  -1.27   1.27  -1.30  -1.78 -0.66 -0.80  0.72  0.96  0.82  0.69  0.76  1.65 -0.36
27 20.32  0.939  0.015  0.036   3.70   2.53   3.71  -1.12   1.06  -1.15  -1.78 -0.66 -0.74  0.68  0.91  0.75  0.62  0.67  1.70 -0.32
28 22.86  0.959  0.015  0.020   2.89   2.04   2.77  -0.88   0.76  -0.91  -1.64 -0.62 -0.71  0.69  0.75  0.63  0.63  0.57  1.46 -0.31
29 25.40  0.971  0.017  0.009   2.14   1.77   2.00  -0.65   0.62  -0.67  -1.36 -0.49 -0.60  0.57  0.88  0.51  0.58  0.48  1.12 -0.26
30 27.94  0.991  0.011 -0.005   0.98   0.98   0.96  -0.30   0.33  -0.32  -0.67 -0.28 -0.31  0.31  0.53  0.34  0.32  0.33  0.60 -0.17
31 30.48  0.991  0.011 -0.010   0.48   0.55   0.49  -0.10   0.11  -0.13  -0.24 -0.09 -0.12  0.11  0.27  0.12  0.12  0.10  0.23 -0.04
32 33.02  1.001  0.011 -0.013   0.21   0.33   0.26  -0.05   0.06  -0.06  -0.08 -0.06 -0.04  0.06  0.13  0.05  0.05  0.05  0.09 -0.02
33 35.56  0.998  0.012 -0.013   0.11   0.20   0.16   0.00   0.01  -0.03  -0.01  0.00  0.00  0.01  0.04  0.01  0.00  0.01  0.02  0.00
34 38.10  1.000  0.012 -0.013   0.08   0.15   0.14   0.00   0.01  -0.02   0.00  0.00  0.00  0.01  0.05  0.01  0.00  0.00  0.00  0.00
35 50.80  1.000  0.013 -0.012   0.05   0.08   0.10   0.00   0.00  -0.02   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
