#
#            Case A.S1       Station= 11
#            X= 304.8 mm      Tunnel Run#= 642   Ue/Uref=   0.989      Date= 428.88  Time=15.00
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.58  -0.21   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.501  0.013  0.054  12.56   1.30   5.33  -1.06  -0.09   0.84  -2.04  0.04  0.75  0.37 -0.11  0.16 -0.47  0.01  0.72  0.17
 3  0.38  0.552  0.015  0.057  10.81   1.78   5.70  -1.28  -0.09   0.44  -2.15 -0.12  0.24  0.76  0.00  0.31 -0.07  0.02  0.12  0.05
 4  0.51  0.582  0.005  0.060   9.59   1.67   5.47  -1.48  -0.14   0.07  -1.83 -0.12  0.33  0.59  0.03  0.17 -0.43 -0.01  0.17  0.11
 5  0.63  0.606  0.006  0.063   8.72   1.83   5.46  -1.46  -0.14   0.23  -0.90 -0.25  0.03  0.53  0.15  0.19 -0.28 -0.02  0.25  0.14
 6  0.76  0.623  0.006  0.066   8.32   1.96   5.19  -1.47  -0.08   0.05  -0.49 -0.19  0.11  0.41  0.18  0.23 -0.17  0.04  0.30  0.04
 7  1.02  0.645  0.008  0.069   7.53   2.14   5.01  -1.49  -0.07   0.02  -0.13 -0.18  0.19  0.28  0.21  0.13 -0.02  0.02  0.03  0.07
 8  1.27  0.667  0.007  0.071   7.30   2.16   4.63  -1.54  -0.04  -0.02  -0.36 -0.21  0.13  0.41  0.19  0.20 -0.15  0.01  0.01  0.11
 9  1.52  0.684  0.007  0.072   6.98   2.08   4.63  -1.43  -0.01  -0.07   0.05 -0.18  0.27  0.25  0.18  0.17 -0.15  0.01  0.03  0.06
10  1.78  0.697  0.007  0.072   6.91   2.20   4.42  -1.50   0.05  -0.10  -0.13 -0.11 -0.04  0.25  0.14  0.22  0.09  0.00  0.05  0.00
11  2.03  0.708  0.008  0.075   6.66   2.14   4.44  -1.43   0.05  -0.10  -0.37 -0.13  0.01  0.28  0.18  0.19 -0.16 -0.01  0.04  0.12
13  2.29  0.720  0.008  0.077   6.42   2.17   4.31  -1.38   0.07  -0.10  -0.34 -0.11  0.07  0.26  0.08  0.15 -0.24 -0.07 -0.22  0.10
14  2.54  0.731  0.009  0.077   6.29   2.24   4.29  -1.41   0.08  -0.18  -0.52 -0.09  0.10  0.32  0.12  0.15  0.06 -0.03 -0.08  0.03
15  2.79  0.740  0.008  0.080   6.10   2.25   4.34  -1.39   0.16  -0.20  -0.52 -0.18  0.20  0.34  0.19  0.15 -0.03  0.00  0.01  0.08
16  3.30  0.757  0.009  0.079   6.09   2.32   4.12  -1.43   0.14  -0.22  -0.59 -0.19  0.11  0.39  0.22  0.12  0.11 -0.04  0.03  0.08
17  3.81  0.770  0.010  0.080   5.69   2.34   4.31  -1.45   0.16  -0.20  -0.33 -0.10  0.09  0.19  0.09  0.14  0.05 -0.07 -0.23  0.06
18  4.32  0.780  0.010  0.082   5.51   2.34   4.08  -1.42   0.22  -0.33  -0.52 -0.15  0.11  0.29  0.17  0.20 -0.08  0.00 -0.18  0.04
19  4.83  0.790  0.010  0.084   5.41   2.47   4.14  -1.38   0.20  -0.22  -0.38 -0.11  0.00  0.25  0.15  0.13 -0.08 -0.05 -0.21  0.08
20  5.59  0.808  0.009  0.081   5.09   2.45   4.19  -1.36   0.28  -0.23  -0.51 -0.14 -0.03  0.29  0.17  0.13 -0.03 -0.02  0.02  0.07
