#
#            Case A.S1       Station=  8
#            X= 101.6 mm      Tunnel Run#= 639   Ue/Uref=   0.996      Date= 428.88  Time=12.26
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.78  -0.34   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.509  0.012  0.090  12.86   1.33   7.27  -1.13  -0.18   1.34  -2.98 -0.04  0.22  0.50 -0.03  0.26 -0.85  0.01 -0.22  0.14
 3  0.38  0.562  0.014  0.103  10.98   1.83   6.98  -1.39  -0.21   0.64  -2.86 -0.15  0.40  0.89  0.01  0.23 -0.56  0.02 -0.33  0.14
 4  0.51  0.597  0.004  0.107   9.07   1.82   7.08  -1.47  -0.30   0.46  -1.56 -0.22  0.24  0.76  0.06  0.41 -0.30 -0.09 -0.22  0.23
 5  0.63  0.618  0.004  0.109   8.50   2.16   6.72  -1.54  -0.13   0.12  -1.30 -0.22  0.24  0.73  0.11  0.24 -0.43 -0.14 -0.58  0.29
 6  0.76  0.636  0.004  0.114   7.96   2.17   6.69  -1.52  -0.08  -0.28  -0.70 -0.27  0.36  0.64  0.19  0.15 -0.31 -0.05 -0.04  0.17
 7  1.02  0.658  0.006  0.114   7.27   2.53   6.86  -1.62  -0.05  -0.29  -0.67 -0.28  0.19  0.56  0.37  0.33 -0.17 -0.16 -0.44  0.21
 8  1.27  0.681  0.007  0.118   7.05   2.54   6.45  -1.57   0.14  -0.60   0.08 -0.15  0.35  0.41  0.25  0.29  0.06  0.01 -0.48  0.08
 9  1.52  0.698  0.008  0.117   6.75   2.59   6.67  -1.54   0.18  -0.66   0.19 -0.20  0.25  0.29  0.17  0.11  0.11 -0.10 -0.41  0.13
10  1.78  0.714  0.008  0.118   6.56   2.75   6.44  -1.58   0.20  -0.85  -0.06 -0.25  0.32  0.34  0.23  0.12 -0.15 -0.10 -0.50  0.21
