# Driver and Seegmiller backstep, roof angles 0 and 6 deg.
# AIAA J. vol. 23, pp. 163-171, 1985
  6 17
             TABLE C. 5           CASE R.ST0      Station=  1
             X/H=  -4.0      Tunnel Run#=  57   Ue/Uref=   1.000      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           21  2.40  0.990 -0.004  1.19  0.74  0.05  -0.16 -0.05  0.07  0.06
           22  2.80  1.014 -0.001  0.66  0.50  0.24   0.02  0.02  0.00  0.03
           23  3.20  1.016 -0.002  0.58  0.38  0.20   0.03  0.01  0.01  0.02
           24  3.60  1.013  0.000  0.64  0.47  0.27   0.04  0.03  0.02  0.04
           25  4.00  1.009 -0.003  0.69  0.52  0.33   0.04  0.04  0.03  0.04
           26  5.00  1.008 -0.007  0.62  0.46  0.27   0.03  0.02  0.01  0.02
           27  6.00  1.007 -0.010  0.55  0.40  0.21   0.01  0.00 -0.01  0.00
           28  7.50  1.004 -0.014  0.70  0.54  0.33   0.04  0.03  0.02  0.04
           29  8.20  0.938 -0.008  2.07  1.24  0.65  -0.42 -0.14 -0.13 -0.09

  6 17
             TABLE C. 5  (cont.)  CASE R.ST0      Station=  3
             X/H=  -1.0      Tunnel Run#=  55   Ue/Uref=   1.010      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           13  1.10  0.687 -0.006  4.77  3.25 -1.12  -0.34 -0.13  0.17  0.21
           14  1.15  0.724 -0.006  5.23  2.13 -1.13  -0.39 -0.10  0.20  0.14
           15  1.20  0.753 -0.008  5.00  2.15 -1.17  -0.36 -0.10  0.15  0.15
           16  1.30  0.793 -0.010  4.31  1.98 -0.99  -0.37 -0.10  0.20  0.13
           17  1.40  0.823 -0.010  3.91  1.87 -0.97  -0.48 -0.12  0.21  0.11
           18  1.50  0.849 -0.011  3.24  1.90 -0.91  -0.30 -0.08  0.12  0.11
           19  1.70  0.896 -0.013  2.69  1.57 -0.72  -0.35 -0.08  0.12  0.09
           20  2.00  0.950 -0.013  1.84  1.14 -0.43  -0.21 -0.09  0.13  0.09
           21  2.40  1.004 -0.012  0.86  0.63 -0.12  -0.10 -0.04  0.04  0.04
           22  2.80  1.023 -0.009  0.45  0.36 -0.02   0.02  0.01  0.00  0.00
           23  3.20  1.020 -0.010  0.40  0.31  0.00   0.02  0.01 -0.01 -0.01
           24  3.60  1.019 -0.010  0.43  0.34  0.01   0.04  0.02  0.00  0.00
           25  4.00  1.016 -0.012  0.40  0.30  0.00   0.01  0.00 -0.01 -0.01
           26  5.00  1.013 -0.013  0.44  0.37  0.00   0.01  0.01 -0.02 -0.03
           27  6.00  1.010 -0.015  0.48  0.44  0.00   0.01  0.01 -0.02 -0.04
           28  7.50  1.010 -0.026  0.41  0.35 -0.01   0.02  0.01 -0.01 -0.01
           29  8.20  0.945 -0.014  1.62  1.55  0.35  -0.18 -0.18 -0.12 -0.13

  6 17
             TABLE C. 5  (cont.)  CASE R.ST0      Station=  4
             X/H=   0.0      Tunnel Run#=  54   Ue/Uref=   1.007      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           13  1.10  0.700 -0.017  4.31  3.54 -1.27  -0.12 -0.10  0.06  0.10
           14  1.15  0.729 -0.017  5.05  2.21 -1.24  -0.35 -0.17  0.24  0.16
           15  1.20  0.757 -0.020  4.68  2.14 -1.10  -0.28 -0.10  0.16  0.11
           16  1.30  0.794 -0.020  4.20  2.01 -1.01  -0.29 -0.09  0.15  0.13
           17  1.40  0.825 -0.020  3.73  1.85 -0.88  -0.38 -0.10  0.19  0.10
           18  1.50  0.853 -0.022  3.43  1.80 -0.87  -0.36 -0.11  0.16  0.13
           19  1.70  0.895 -0.023  2.80  1.52 -0.65  -0.26 -0.07  0.08  0.09
           20  2.00  0.947 -0.022  2.12  1.16 -0.37  -0.27 -0.08  0.10  0.06
           21  2.40  0.998 -0.020  1.17  0.69 -0.07  -0.14 -0.04  0.05  0.03
           22  2.80  1.020 -0.017  0.65  0.43  0.08   0.02  0.01  0.00  0.00
           23  3.20  1.019 -0.016  0.57  0.37  0.08   0.03  0.02  0.00  0.00
           24  3.60  1.016 -0.016  0.57  0.37  0.11   0.04  0.02  0.00  0.00
           25  4.00  1.014 -0.017  0.61  0.39  0.12   0.05  0.02  0.00  0.00
           26  5.00  1.009 -0.022  0.60  0.40  0.10   0.04  0.02 -0.01 -0.01
           27  6.00  1.007 -0.020  0.58  0.36  0.08   0.05  0.01 -0.01 -0.01
           28  7.50  1.007 -0.022  0.56  0.39  0.09   0.03  0.02 -0.01  0.00
           29  8.20  0.940 -0.015  1.97  1.37  0.54  -0.41 -0.17 -0.15 -0.12

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station=  5
             X/H=   1.0      Tunnel Run#=  53   Ue/Uref=   0.994      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.008 -0.005  3.18  2.94 -0.72   0.00 -0.35  0.14  0.19
            3  0.15 -0.017 -0.004  4.71  3.22  0.46  -0.46 -0.14  0.15  0.06
            4  0.20 -0.027 -0.001  5.04  3.29  0.21  -0.38 -0.11  0.22 -0.01
            5  0.30 -0.035  0.004  5.12  3.49 -0.14  -0.31 -0.21  0.31  0.05
            6  0.40 -0.035  0.014  4.50  3.67 -0.43  -0.33 -0.24  0.33  0.31
            7  0.50 -0.035  0.022  4.94  2.90 -0.65  -0.48 -0.25  0.32  0.20
            8  0.60 -0.027  0.028  4.56  3.00 -0.74  -0.61 -0.23  0.28  0.18
            9  0.70 -0.005  0.025  5.03  3.44 -0.92  -0.39 -0.15 -0.10 -0.04
           10  0.80  0.081  0.006  9.24  7.38 -3.71   2.63  2.22 -2.73 -2.24
           11  0.90  0.292 -0.027 13.80 11.77 -7.05   1.18  0.94 -0.65 -1.00
           12  1.00  0.519 -0.033 13.93 10.41 -5.85  -4.18 -2.73  2.91  2.32
           13  1.10  0.704 -0.023  6.18  3.79 -1.54  -1.19 -0.49  0.45  0.62
           14  1.15  0.740 -0.022  4.87  2.84 -1.25  -0.07 -0.16  0.12  0.25
           15  1.20  0.762 -0.023  4.27  2.51 -1.05  -0.21 -0.11  0.09  0.24
           16  1.30  0.793 -0.031  3.87  2.26 -0.98  -0.22 -0.11  0.14  0.16
           17  1.40  0.827 -0.027  3.38  2.05 -0.82  -0.26 -0.09  0.13  0.15
           18  1.50  0.851 -0.031  3.08  1.98 -0.81  -0.26 -0.11  0.14  0.13
           19  1.70  0.891 -0.034  2.49  1.57 -0.64  -0.25 -0.11  0.09  0.09
           20  2.00  0.942 -0.033  1.76  1.21 -0.44  -0.24 -0.09  0.11  0.09
           21  2.40  0.990 -0.031  0.91  0.67 -0.12  -0.11 -0.04  0.05  0.04
           22  2.80  1.009 -0.028  0.45  0.36  0.01   0.01  0.01  0.00  0.01
           23  3.20  1.003 -0.028  0.41  0.33  0.04   0.02  0.02  0.00  0.00
           24  3.60  1.002 -0.026  0.40  0.33  0.03   0.01  0.01  0.00  0.00
           25  4.00  1.000 -0.028  0.38  0.30  0.03   0.02  0.01  0.00  0.00
           26  5.00  0.997 -0.027  0.36  0.29  0.01   0.02  0.01  0.00  0.00
           27  6.00  0.994 -0.027  0.33  0.27 -0.01   0.01  0.01 -0.01 -0.01
           28  7.50  0.993 -0.025  0.36  0.30  0.01   0.01  0.01  0.00  0.00
           29  8.20  0.919 -0.013  1.83  1.56  0.59  -0.30 -0.19 -0.15 -0.14

  6 27
             TABLE C. 5  (cont.)  CASE R.ST0      Station=  6
             X/H=   1.5      Tunnel Run#=  52   Ue/Uref=   0.992      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.069 -0.003  6.34  2.70 -0.33   0.06 -0.07  0.24 -0.11
            3  0.15 -0.081  0.004  7.16  2.27 -0.33   0.05 -0.13 -0.01  0.03
            4  0.20 -0.085  0.009  6.69  2.35 -0.61   0.04 -0.07  0.00 -0.02
            5  0.30 -0.088  0.020  6.75  2.78 -0.84   0.00 -0.08  0.00  0.03
            6  0.40 -0.080  0.025  6.53  3.13 -0.84  -0.45 -0.17  0.03 -0.04
            7  0.50 -0.062  0.025  6.12  3.44 -1.16  -0.66 -0.08  0.10 -0.03
            8  0.60 -0.026  0.020  7.57  4.67 -1.88  -0.16  0.37 -0.48 -0.85
            9  0.70  0.055  0.000 10.78  7.49 -3.94   0.97  1.61 -1.59 -2.41
           10  0.80  0.208 -0.034 13.89 10.56 -6.08   0.14  0.38 -0.23 -1.87
           11  0.90  0.373 -0.046 15.92 11.22 -6.96  -0.82 -0.65  0.99 -0.01
           12  1.00  0.554 -0.047 14.37  7.99 -4.69  -4.29 -1.90  1.69  2.06
           13  1.10  0.709 -0.039  7.53  3.89 -2.01  -2.71 -1.01  1.16  1.40
           14  1.15  0.739 -0.037  6.19  3.12 -1.57  -1.51 -0.56  0.68  0.85
           15  1.20  0.768 -0.035  4.84  2.35 -1.12  -0.31 -0.11  0.21  0.30
           16  1.30  0.803 -0.037  4.00  2.03 -0.95  -0.30 -0.09  0.13  0.18
           17  1.40  0.832 -0.037  3.43  1.79 -0.81  -0.28 -0.10  0.11  0.10
           18  1.50  0.856 -0.036  3.04  1.61 -0.75  -0.36 -0.10  0.14  0.07
           19  1.70  0.898 -0.036  2.43  1.35 -0.63  -0.25 -0.09  0.12  0.11
           20  2.00  0.949 -0.034  1.69  0.96 -0.36  -0.26 -0.08  0.09  0.06
           21  2.40  0.997 -0.030  0.82  0.50 -0.07  -0.11 -0.04  0.04  0.03
           22  2.80  1.012 -0.026  0.42  0.28  0.04   0.01  0.00  0.00  0.00
           23  3.20  1.009 -0.025  0.38  0.26  0.05   0.02  0.00  0.00  0.00
           24  3.60  1.001 -0.028  0.38  0.24  0.04   0.01  0.00  0.00  0.00
           25  4.00  1.000 -0.028  0.36  0.24  0.04   0.01  0.00  0.00  0.00
           26  5.00  0.996 -0.027  0.36  0.23  0.03   0.01  0.00  0.00  0.00
           27  6.00  0.992 -0.025  0.35  0.23  0.03   0.00  0.00  0.00  0.00
           28  7.50  0.991 -0.022  0.35  0.25  0.04   0.01  0.00  0.00  0.00

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station=  7
             X/H=   2.0      Tunnel Run#=  51   Ue/Uref=   0.988      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.117  0.013  8.49  3.98  0.54   0.39 -0.02 -0.13 -0.20
            3  0.15 -0.132  0.016  6.85  3.30 -0.17   0.69  0.05 -0.17 -0.10
            4  0.20 -0.131  0.018  6.69  3.40 -0.65   0.78  0.12 -0.07 -0.18
            5  0.30 -0.116  0.025  6.83  3.96 -1.04   0.55  0.23 -0.09 -0.27
            6  0.40 -0.093  0.028  7.39  4.93 -1.43   0.13  0.02 -0.29 -0.12
            7  0.50 -0.050  0.025  9.44  6.33 -2.33   0.62  0.62 -0.91 -0.71
            8  0.60  0.027  0.009 13.04  8.68 -4.54   0.74  1.29 -1.63 -2.02
            9  0.70  0.139 -0.017 13.94 10.48 -5.84  -1.88  0.08 -0.40 -1.12
           10  0.80  0.280 -0.040 14.56 11.68 -6.81   0.23  0.32 -0.05 -0.89
           11  0.90  0.406 -0.048 15.52 11.55 -6.89  -1.21 -1.12  1.31  1.23
           12  1.00  0.564 -0.050 14.27  9.31 -5.26  -5.56 -3.37  3.36  2.78
           13  1.10  0.701 -0.046  8.02  5.20 -2.58  -3.56 -1.87  1.73  1.93
           14  1.15  0.735 -0.045  6.36  4.04 -1.90  -2.01 -1.03  0.98  1.15
           15  1.20  0.769 -0.044  4.69  2.88 -1.21  -0.46 -0.19  0.24  0.37
           16  1.30  0.806 -0.044  3.76  2.30 -0.94  -0.20 -0.09  0.15  0.16
           17  1.40  0.835 -0.045  3.36  2.04 -0.91  -0.41 -0.12  0.15  0.15
           18  1.50  0.858 -0.045  2.90  1.79 -0.76  -0.31 -0.09  0.12  0.08
           19  1.70  0.898 -0.046  2.38  1.50 -0.64  -0.32 -0.12  0.13  0.10
           20  2.00  0.944 -0.045  1.67  1.11 -0.42  -0.22 -0.10  0.10  0.08
           21  2.40  0.990 -0.043  0.78  0.62 -0.16  -0.09 -0.04  0.04  0.03
           22  2.80  1.005 -0.038  0.41  0.35 -0.06   0.01  0.01  0.00 -0.01
           23  3.20  1.000 -0.036  0.37  0.31 -0.04   0.02  0.01 -0.01 -0.02
           24  3.60  0.996 -0.034  0.37  0.30 -0.03   0.01  0.01 -0.01  0.00
           25  4.00  0.996 -0.033  0.35  0.29 -0.04   0.02  0.01 -0.01 -0.01
           26  5.00  0.992 -0.031  0.35  0.29 -0.04   0.02  0.01 -0.01 -0.01
           27  6.00  0.988 -0.029  0.36  0.29 -0.04   0.01  0.01 -0.01 -0.01
           28  7.50  0.987 -0.025  0.33  0.29 -0.03   0.01  0.01 -0.01 -0.01
           29  8.20  0.911 -0.014  1.97  1.61  0.50  -0.35 -0.23 -0.15 -0.12

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station=  8
             X/H=   2.5      Tunnel Run#=  50   Ue/Uref=   0.990      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.177  0.008  6.36  4.21 -0.51   0.70  0.50 -0.38 -0.37
            3  0.15 -0.180  0.008  6.75  4.18 -0.70   0.98  0.49 -0.61 -0.75
            4  0.20 -0.171  0.012  7.74  4.73 -1.20   1.75  0.72 -1.01 -1.06
            5  0.30 -0.141  0.016 10.17  6.31 -2.19   3.32  1.35 -1.43 -1.92
            6  0.40 -0.095  0.013 13.55  7.92 -3.48   4.62  1.99 -2.68 -2.29
            7  0.50 -0.012  0.002 19.85 10.50 -6.12   2.60  2.10 -2.51 -2.86
            8  0.60  0.093 -0.015 21.04 12.43 -7.42  -6.53 -0.66  0.52 -1.46
            9  0.70  0.226 -0.038 16.90 12.10 -6.94  -6.11 -1.73  1.95 -0.11
           10  0.80  0.341 -0.049 15.96 11.95 -6.74  -1.49 -1.53  1.40  1.52
           11  0.90  0.461 -0.056 16.26 10.77 -6.40  -1.22 -2.10  1.69  2.39
           12  1.00  0.599 -0.056 14.74  8.36 -4.93  -5.83 -3.34  3.24  3.03
           13  1.10  0.707 -0.052  9.18  5.32 -2.81  -4.70 -2.01  1.99  2.14
           14  1.15  0.740 -0.053  7.12  4.09 -1.98  -2.74 -1.17  1.21  1.33
           15  1.20  0.774 -0.054  5.06  2.87 -1.15  -0.79 -0.32  0.44  0.53
           16  1.30  0.811 -0.054  3.99  2.29 -0.97  -0.32 -0.16  0.20  0.26
           17  1.40  0.838 -0.053  3.49  1.95 -0.77  -0.37 -0.13  0.16  0.12
           18  1.50  0.863 -0.055  3.10  1.73 -0.70  -0.29 -0.11  0.10  0.09
           19  1.70  0.902 -0.055  2.47  1.40 -0.48  -0.27 -0.08  0.08  0.10
           20  2.00  0.948 -0.054  1.80  0.97 -0.27  -0.27 -0.09  0.10  0.07
           21  2.40  0.992 -0.049  0.88  0.53 -0.01  -0.11 -0.03  0.04  0.02
           22  2.80  1.006 -0.044  0.50  0.34  0.09   0.02  0.00  0.00  0.00
           23  3.20  1.001 -0.040  0.45  0.29  0.09   0.02  0.01  0.00  0.00
           24  3.60  1.000 -0.036  0.39  0.26  0.05   0.02  0.01  0.00  0.00
           25  4.00  0.999 -0.032  0.39  0.27  0.06   0.01  0.01  0.00  0.00
           26  5.00  0.995 -0.028  0.41  0.28  0.07   0.01  0.00  0.00  0.00
           27  6.00  0.990 -0.024  0.42  0.29  0.08   0.01  0.00  0.00  0.00
           28  7.50  0.992 -0.019  0.40  0.28  0.08   0.01  0.01  0.00  0.00
           29  8.20  0.914 -0.010  2.13  1.46  0.57  -0.47 -0.19 -0.14 -0.13

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station=  9
             X/H=   3.0      Tunnel Run#=  49   Ue/Uref=   0.984      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  -0.198 -0.003  7.56  6.10  -1.67   2.34  1.57 -1.77 -1.45
            3  0.15  -0.197  0.000  8.64  5.93  -1.95   3.14  1.61 -1.80 -2.08
            4  0.20  -0.184 -0.001 10.20  7.16  -2.89   5.35  2.37 -2.83 -2.70
            5  0.30  -0.143 -0.002 14.81  9.75  -4.99  10.54  3.64 -4.97 -3.73
            6  0.40  -0.066 -0.014 24.15 13.31  -8.47  15.08  4.38 -6.34 -3.91
            7  0.50   0.038 -0.029 28.65 15.51 -10.16  -4.80 -0.89  1.39 -1.19
            8  0.60   0.162 -0.046 25.33 15.29  -9.43 -19.14 -5.35  7.12  1.74
            9  0.70   0.282 -0.057 19.25 13.35  -7.97  -9.14 -4.16  4.97  2.22
           10  0.80   0.388 -0.064 15.77 11.63  -6.37  -0.98 -2.00  1.47  1.82
           11  0.90   0.506 -0.068 15.98 10.25  -6.01  -2.67 -2.23  2.03  2.58
           12  1.00   0.613 -0.064 14.29  8.06  -4.81  -7.35 -3.52  3.69  3.62
           13  1.10   0.716 -0.067  8.92  4.80  -2.40  -4.45 -1.73  1.78  1.74
           14  1.15   0.747 -0.067  7.18  3.94  -1.88  -2.96 -1.14  1.17  1.20
           15  1.20   0.777 -0.066  5.45  3.07  -1.36  -1.46 -0.55  0.56  0.67
           16  1.30   0.813 -0.064  3.91  2.28  -0.98  -0.40 -0.18  0.20  0.31
           17  1.40   0.841 -0.063  3.33  1.81  -0.73  -0.21 -0.08  0.12  0.14
           18  1.50   0.864 -0.063  2.93  1.55  -0.67  -0.28 -0.08  0.09  0.09
           19  1.70   0.903 -0.063  2.29  1.30  -0.52  -0.33 -0.09  0.12  0.08
           20  2.00   0.948 -0.059  1.56  0.83  -0.30  -0.25 -0.08  0.10  0.07
           21  2.40   0.989 -0.055  0.66  0.40  -0.04  -0.09 -0.03  0.03  0.02
           22  2.80   0.998 -0.048  0.36  0.25   0.05   0.01  0.00  0.00  0.00
           23  3.20   0.995 -0.044  0.35  0.23   0.05   0.01  0.00  0.00  0.00
           24  3.60   0.994 -0.042  0.35  0.22   0.04   0.01  0.00  0.00  0.00
           25  4.00   0.992 -0.039  0.33  0.21   0.04   0.01  0.00  0.00  0.00
           26  5.00   0.988 -0.034  0.33  0.21   0.04   0.01  0.00  0.00  0.00
           27  6.00   0.984 -0.030  0.33  0.22   0.05   0.01  0.00  0.00  0.00
           28  7.50   0.983 -0.025  0.33  0.23   0.04   0.01  0.01  0.00  0.00
           29  8.20   0.899 -0.015  2.31  1.55   0.69  -0.52 -0.23 -0.21 -0.17

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 10
             X/H=   4.0      Tunnel Run#=  48   Ue/Uref=   0.980      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.171 -0.014  9.71  7.67  -2.64   4.26  2.49 -2.60 -2.47
            3  0.15 -0.154 -0.020 13.20 10.10  -4.45  10.50  4.70 -5.18 -4.94
            4  0.20 -0.134 -0.027 16.50 12.98  -6.30  13.67  5.61 -6.52 -5.34
            5  0.30 -0.057 -0.046 25.91 16.16  -9.94  16.29  4.72 -5.66 -4.41
            6  0.40  0.052 -0.068 32.92 18.95 -12.02  -4.83 -2.74  3.50  2.13
            7  0.50  0.169 -0.082 30.67 18.32 -11.11 -26.75 -8.98 11.86  6.02
            8  0.60  0.279 -0.093 23.24 15.90  -8.99 -19.61 -9.14  9.42  6.90
            9  0.70  0.381 -0.094 18.21 13.03  -6.93  -5.06 -4.23  3.71  4.03
           10  0.80  0.473 -0.097 17.03 10.98  -5.98  -3.65 -3.38  3.11  3.89
           11  0.90  0.568 -0.097 14.45  8.30  -4.52  -5.19 -2.98  2.45  3.04
           12  1.00  0.656 -0.092 11.55  6.33  -3.48  -6.85 -2.78  2.86  2.55
           13  1.10  0.730 -0.089  7.70  4.20  -2.10  -3.69 -1.47  1.52  1.57
           14  1.15  0.754 -0.087  6.27  3.52  -1.65  -2.27 -0.94  1.00  1.14
           15  1.20  0.778 -0.084  4.85  2.83  -1.19  -0.84 -0.42  0.48  0.71
           16  1.30  0.811 -0.083  3.80  2.19  -0.87  -0.44 -0.19  0.16  0.32
           17  1.40  0.835 -0.081  3.17  1.80  -0.67  -0.29 -0.11  0.13  0.20
           18  1.50  0.856 -0.079  2.86  1.52  -0.56  -0.31 -0.08  0.10  0.14
           19  1.70  0.895 -0.076  2.27  1.25  -0.45  -0.34 -0.10  0.14  0.13
           20  2.00  0.940 -0.072  1.47  0.78  -0.23  -0.22 -0.07  0.07  0.07
           21  2.40  0.978 -0.063  0.61  0.39   0.00  -0.06 -0.01  0.03  0.02
           22  2.80  0.986 -0.056  0.38  0.26   0.06   0.01  0.00 -0.01  0.00
           23  3.20  0.984 -0.050  0.36  0.23   0.05   0.01  0.00  0.00  0.00
           24  3.60  0.985 -0.047  0.36  0.23   0.07   0.01  0.00  0.00  0.00
           25  4.00  0.985 -0.043  0.33  0.21   0.06   0.00  0.00  0.00  0.00
           26  5.00  0.983 -0.037  0.33  0.22   0.06   0.01  0.00  0.00  0.00
           27  6.00  0.980 -0.031  0.34  0.23   0.06   0.01  0.00  0.00  0.00
           28  7.50  0.980 -0.025  0.35  0.25   0.07   0.01  0.00 -0.01  0.00
           29  8.20  0.892 -0.013  2.23  1.59   0.65  -0.40 -0.22 -0.19 -0.13

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 11
             X/H=   5.0      Tunnel Run#=  47   Ue/Uref=   0.975      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.032 -0.046 18.83 13.16  -6.05  12.72  5.39 -4.75 -4.24
            3  0.15 -0.006 -0.053 23.97 15.57  -7.11  14.24  4.30 -3.75 -3.88
            4  0.20  0.026 -0.063 26.59 18.23  -9.54  10.18  3.78 -4.01 -3.06
            5  0.30  0.117 -0.088 30.07 20.49 -11.50  -4.63 -3.89  4.71  3.40
            6  0.40  0.204 -0.097 27.91 19.81 -10.49 -17.17 -8.17  9.14  6.95
            7  0.50  0.293 -0.103 25.09 17.30  -9.29 -18.92 -9.77  9.89  7.64
            8  0.60  0.375 -0.106 21.27 15.07  -8.29 -13.35 -7.91  7.40  7.83
            9  0.70  0.452 -0.104 19.70 13.26  -7.33 -11.50 -7.42  6.97  7.33
           10  0.80  0.536 -0.103 16.77 10.57  -5.84  -9.62 -6.42  6.07  6.21
           11  0.90  0.610 -0.097 14.13  8.40  -4.97 -10.74 -5.26  5.67  5.21
           12  1.00  0.679 -0.096 10.11  6.14  -3.07  -7.53 -3.32  3.36  3.92
           13  1.10  0.734 -0.095  6.79  4.05  -1.86  -4.53 -1.76  1.93  2.05
           14  1.15  0.753 -0.093  5.71  3.50  -1.60  -2.92 -1.23  1.33  1.53
           15  1.20  0.771 -0.091  4.63  2.95  -1.33  -1.32 -0.69  0.74  1.02
           16  1.30  0.800 -0.090  3.60  2.12  -0.78  -0.44 -0.17  0.22  0.35
           17  1.40  0.826 -0.088  3.17  1.85  -0.70  -0.38 -0.16  0.23  0.26
