# DNS of separated flow in a three-dimensional diffuser
# Reference:   Ohlsson et al., J. Fluid Mech. 650, 307-318 (2010)
# e-mail:      johan@mech.kth.se, pschlatt@mech.kth.se, henning@mech.kth.se
# Code:        nek5000, spectral-element, 11th order space, 3rd order time
# Domain size: Lx = [0 105.4], Ly = [0 1.0;4.0], Lz = [0 3.33;4.0]
# Elements:    Kx = 365, Ky = 10, Kz = 35 --> K_tot = 127 750
# Grid points: Nx = 4380, Ny = 120, Nz = 420 --> N_tot = 220 752 000
# 
# 
# x/H y/H z/B U/Ubulk V/Ubulk W/Ubulk k/Ubulk^2 uu/Ubulk^2 vv/Ubulk^2 ww/Ubulk^2 uv/Ubulk^2 uw/Ubulk^2 vw/Ubulk^2
0.0249382 0.0000000 1.6762573 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 
0.0249382 0.0006959 1.6762573 0.0217179 0.0000004 0.0000202 0.0001721 0.0001191 0.0000000 0.0000530 -0.0000003 -0.0000009 0.0000000 
0.0249382 0.0022823 1.6762573 0.0722107 0.0000078 0.0001322 0.0017005 0.0012494 0.0000018 0.0004493 -0.0000109 -0.0000072 0.0000009 
0.0249382 0.0046363 1.6762573 0.1487416 0.0000521 0.0004701 0.0063094 0.0049671 0.0000206 0.0013217 -0.0000972 -0.0000131 0.0000048 
0.0249382 0.0075831 1.6762573 0.2432443 0.0001909 0.0011427 0.0144695 0.0120032 0.0000917 0.0023746 -0.0003893 0.0000120 0.0000096 
0.0249382 0.0109042 1.6762573 0.3409564 0.0004792 0.0020542 0.0237812 0.0202624 0.0002400 0.0032788 -0.0009174 0.0000627 0.0000094 
0.0249382 0.0143532 1.6762573 0.4277450 0.0009180 0.0029621 0.0311908 0.0267359 0.0004555 0.0039995 -0.0015343 0.0000828 -0.0000010 
0.0249382 0.0176743 1.6762573 0.4969627 0.0014363 0.0037108 0.0357929 0.0304876 0.0007052 0.0046002 -0.0020814 0.0000763 -0.0000238 
0.0249382 0.0206211 1.6762573 0.5481943 0.0019371 0.0042621 0.0381784 0.0321467 0.0009517 0.0050800 -0.0024879 0.0000897 -0.0000500 
0.0249382 0.0229751 1.6762573 0.5834254 0.0023516 0.0046186 0.0392302 0.0326495 0.0011589 0.0054219 -0.0027542 0.0001316 -0.0000688 
0.0249382 0.0245615 1.6762573 0.6047409 0.0026359 0.0048086 0.0396224 0.0326934 0.0013002 0.0056287 -0.0029059 0.0001748 -0.0000780 
0.0249382 0.0252574 1.6762573 0.6135358 0.0027619 0.0048778 0.0397312 0.0326560 0.0013620 0.0057132 -0.0029662 0.0001964 -0.0000810 
0.0249382 0.0252574 1.6762573 0.6135358 0.0027619 0.0048778 0.0397312 0.0326560 0.0013620 0.0057132 -0.0029662 0.0001964 -0.0000810 
0.0249382 0.0272767 1.6762573 0.6373340 0.0031315 0.0050217 0.0398701 0.0323938 0.0015386 0.0059378 -0.0031179 0.0002669 -0.0000874 
0.0249382 0.0318804 1.6762573 0.6833069 0.0040061 0.0050565 0.0395295 0.0312740 0.0019150 0.0063405 -0.0033627 0.0004189 -0.0000877 
0.0249382 0.0387116 1.6762573 0.7355149 0.0053949 0.0045720 0.0380331 0.0288930 0.0023872 0.0067529 -0.0035254 0.0005713 -0.0000769 
0.0249382 0.0472632 1.6762573 0.7832207 0.0071151 0.0039539 0.0356514 0.0256981 0.0028779 0.0070753 -0.0035507 0.0005128 -0.0000284 
0.0249382 0.0569008 1.6762573 0.8227926 0.0088162 0.0039169 0.0332181 0.0226238 0.0033340 0.0072603 -0.0035695 0.0001882 -0.0000005 
0.0249382 0.0669095 1.6762573 0.8541566 0.0102377 0.0036601 0.0308584 0.0200060 0.0036402 0.0072122 -0.0035924 -0.0000940 -0.0000194 
0.0249382 0.0765470 1.6762573 0.8787030 0.0113894 0.0028795 0.0286466 0.0177619 0.0038029 0.0070818 -0.0035304 -0.0001124 -0.0000188 
0.0249382 0.0850986 1.6762573 0.8976926 0.0123443 0.0024630 0.0269568 0.0161113 0.0038909 0.0069546 -0.0034155 -0.0000240 -0.0000021 
0.0249382 0.0919298 1.6762573 0.9113529 0.0130321 0.0025659 0.0259143 0.0150666 0.0039244 0.0069233 -0.0033235 0.0000074 0.0000041 
0.0249382 0.0965335 1.6762573 0.9198431 0.0134494 0.0028612 0.0253388 0.0145006 0.0039268 0.0069114 -0.0032656 0.0000002 0.0000166 
0.0249382 0.0985528 1.6762573 0.9233718 0.0136269 0.0030053 0.0251247 0.0143005 0.0039225 0.0069017 -0.0032451 -0.0000135 0.0000244 
0.0249382 0.0985528 1.6762573 0.9233718 0.0136269 0.0030053 0.0251247 0.0143005 0.0039225 0.0069017 -0.0032451 -0.0000135 0.0000244 
0.0249382 0.1016973 1.6762573 0.9286528 0.0139036 0.0032487 0.0248042 0.0140077 0.0039116 0.0068849 -0.0032141 -0.0000316 0.0000429 
0.0249382 0.1088662 1.6762573 0.9399740 0.0145787 0.0035291 0.0241394 0.0134718 0.0038734 0.0067943 -0.0031744 -0.0000802 0.0000721 
0.0249382 0.1195038 1.6762573 0.9554897 0.0157560 0.0033467 0.0232061 0.0127858 0.0038000 0.0066204 -0.0031132 -0.0000940 0.0000700 
0.0249382 0.1328203 1.6762573 0.9736379 0.0175057 0.0025682 0.0221274 0.0121183 0.0037285 0.0062806 -0.0030257 -0.0000989 0.0000001 
0.0249382 0.1478278 1.6762573 0.9925836 0.0195612 0.0021417 0.0211017 0.0114574 0.0036571 0.0059872 -0.0029710 -0.0001395 -0.0000422 
0.0249382 0.1634134 1.6762573 1.0109248 0.0213989 0.0023564 0.0201773 0.0108243 0.0035819 0.0057711 -0.0028985 -0.0001169 -0.0000532 
0.0249382 0.1784209 1.6762573 1.0272260 0.0228672 0.0023397 0.0193328 0.0102925 0.0034960 0.0055443 -0.0027795 0.0000104 -0.0000867 
0.0249382 0.1917375 1.6762573 1.0407195 0.0240750 0.0021180 0.0185994 0.0098634 0.0033959 0.0053401 -0.0026771 0.0000425 -0.0000893 
0.0249382 0.2023751 1.6762573 1.0512862 0.0249991 0.0019807 0.0180019 0.0095220 0.0033262 0.0051536 -0.0025905 0.0000644 -0.0000689 
0.0249382 0.2095439 1.6762573 1.0582289 0.0256043 0.0018400 0.0176536 0.0093261 0.0032842 0.0050433 -0.0025289 0.0000783 -0.0000537 
0.0249382 0.2126884 1.6762573 1.0612307 0.0258732 0.0017549 0.0175147 0.0092499 0.0032649 0.0050000 -0.0025038 0.0000920 -0.0000505 
0.0249382 0.2126884 1.6762573 1.0612307 0.0258732 0.0017549 0.0175147 0.0092499 0.0032649 0.0050000 -0.0025038 0.0000920 -0.0000505 
0.0249382 0.2166517 1.6762573 1.0649087 0.0262100 0.0015880 0.0173461 0.0091447 0.0032402 0.0049612 -0.0024735 0.0001084 -0.0000471 
0.0249382 0.2256873 1.6762573 1.0730429 0.0269552 0.0010396 0.0169678 0.0089370 0.0031744 0.0048564 -0.0024073 0.0001713 -0.0000444 
0.0249382 0.2390949 1.6762573 1.0842545 0.0279953 0.0003074 0.0163138 0.0085982 0.0030698 0.0046458 -0.0023188 0.0001987 -0.0000477 
0.0249382 0.2558790 1.6762573 1.0975561 0.0292587 0.0002508 0.0154664 0.0081769 0.0029546 0.0043350 -0.0021986 0.0001248 -0.0000563 
0.0249382 0.2747945 1.6762573 1.1111202 0.0306117 0.0003123 0.0146139 0.0077337 0.0028315 0.0040487 -0.0020845 0.0000316 -0.0000789 
0.0249382 0.2944385 1.6762573 1.1236091 0.0319935 -0.0002395 0.0136924 0.0072480 0.0026937 0.0037507 -0.0019584 -0.0000172 -0.0000975 
0.0249382 0.3133540 1.6762573 1.1348829 0.0334540 -0.0009209 0.0128549 0.0068051 0.0025754 0.0034743 -0.0018119 -0.0000063 -0.0000926 
0.0249382 0.3301381 1.6762573 1.1445305 0.0348236 -0.0010975 0.0121154 0.0064033 0.0024660 0.0032462 -0.0016717 -0.0000394 -0.0000788 
0.0249382 0.3435457 1.6762573 1.1522406 0.0358789 -0.0008698 0.0115303 0.0060689 0.0023920 0.0030694 -0.0015529 -0.0000714 -0.0000768 
0.0249382 0.3525813 1.6762573 1.1574056 0.0365416 -0.0007353 0.0111425 0.0058257 0.0023569 0.0029598 -0.0014790 -0.0000904 -0.0000704 
0.0249382 0.3565446 1.6762573 1.1596493 0.0368212 -0.0006480 0.0109736 0.0057190 0.0023434 0.0029112 -0.0014482 -0.0000982 -0.0000678 
0.0249382 0.3565446 1.6762573 1.1596493 0.0368212 -0.0006480 0.0109736 0.0057190 0.0023434 0.0029112 -0.0014482 -0.0000982 -0.0000678 
0.0249382 0.3609371 1.6762573 1.1621286 0.0371273 -0.0005904 0.0107824 0.0055977 0.0023296 0.0028552 -0.0014147 -0.0001088 -0.0000618 
0.0249382 0.3709515 1.6762573 1.1676183 0.0378276 -0.0005514 0.0103866 0.0053353 0.0022972 0.0027540 -0.0013414 -0.0001072 -0.0000534 
0.0249382 0.3858115 1.6762573 1.1753374 0.0388294 -0.0006185 0.0098739 0.0049815 0.0022410 0.0026513 -0.0012223 -0.0000728 -0.0000472 
0.0249382 0.4044137 1.6762573 1.1840558 0.0399854 -0.0006420 0.0093095 0.0046053 0.0021443 0.0025599 -0.0010570 -0.0000253 -0.0000171 
0.0249382 0.4253781 1.6762573 1.1924992 0.0413702 -0.0004687 0.0087204 0.0042416 0.0020345 0.0024442 -0.0008673 -0.0000415 0.0000203 
0.0249382 0.4471500 1.6762573 1.1998512 0.0429215 -0.0002348 0.0081668 0.0039407 0.0019543 0.0022718 -0.0006850 -0.0000804 0.0000347 
0.0249382 0.4681144 1.6762573 1.2057590 0.0444482 -0.0001820 0.0077321 0.0037027 0.0019104 0.0021190 -0.0005301 -0.0000807 0.0000444 
0.0249382 0.4867166 1.6762573 1.2098746 0.0458187 -0.0001928 0.0074637 0.0035320 0.0018863 0.0020454 -0.0003921 -0.0000722 0.0000452 
0.0249382 0.5015765 1.6762573 1.2120812 0.0468362 -0.0001517 0.0073119 0.0034328 0.0018783 0.0020008 -0.0002715 -0.0000726 0.0000448 
0.0249382 0.5115908 1.6762573 1.2129732 0.0474788 -0.0001628 0.0072577 0.0034016 0.0018787 0.0019774 -0.0001835 -0.0000696 0.0000426 
0.0249382 0.5159834 1.6762573 1.2132217 0.0477592 -0.0001767 0.0072439 0.0033950 0.0018802 0.0019688 -0.0001455 -0.0000702 0.0000397 
0.0249382 0.5159834 1.6762573 1.2132217 0.0477592 -0.0001767 0.0072439 0.0033950 0.0018802 0.0019688 -0.0001455 -0.0000702 0.0000397 
0.0249382 0.5203760 1.6762573 1.2133983 0.0480370 -0.0001827 0.0072360 0.0033911 0.0018822 0.0019627 -0.0001056 -0.0000691 0.0000382 
0.0249382 0.5303904 1.6762573 1.2135266 0.0486812 -0.0002045 0.0072417 0.0033904 0.0018883 0.0019630 -0.0000211 -0.0000597 0.0000307 
0.0249382 0.5452504 1.6762573 1.2130318 0.0496082 -0.0001550 0.0072988 0.0034063 0.0019026 0.0019899 0.0000940 -0.0000431 0.0000170 
0.0249382 0.5638525 1.6762573 1.2113218 0.0506301 0.0000293 0.0074533 0.0035055 0.0019200 0.0020277 0.0002282 -0.0000361 -0.0000005 
0.0249382 0.5848170 1.6762573 1.2084260 0.0516828 0.0001734 0.0077145 0.0036955 0.0019471 0.0020719 0.0003932 -0.0000260 0.0000057 
0.0249382 0.6065888 1.6762573 1.2042708 0.0527757 0.0000362 0.0081182 0.0039647 0.0019986 0.0021548 0.0005928 -0.0000554 0.0000168 
0.0249382 0.6275533 1.6762573 1.1989344 0.0538469 -0.0003162 0.0086553 0.0042924 0.0020585 0.0023044 0.0007831 -0.0000950 0.0000208 
0.0249382 0.6461555 1.6762573 1.1931202 0.0547757 -0.0003345 0.0092053 0.0045852 0.0021227 0.0024974 0.0009517 -0.0000900 0.0000172 
0.0249382 0.6610155 1.6762573 1.1877956 0.0555147 -0.0001125 0.0097064 0.0048493 0.0021852 0.0026719 0.0010916 -0.0000661 0.0000110 
0.0249382 0.6710297 1.6762573 1.1839738 0.0560721 -0.0000560 0.0100663 0.0050386 0.0022253 0.0028023 0.0011667 -0.0000344 0.0000104 
0.0249382 0.6754224 1.6762573 1.1822213 0.0563373 -0.0000232 0.0102315 0.0051279 0.0022428 0.0028608 0.0011980 -0.0000250 0.0000048 
0.0249382 0.6754224 1.6762573 1.1822213 0.0563373 -0.0000232 0.0102315 0.0051279 0.0022428 0.0028608 0.0011980 -0.0000250 0.0000048 
0.0249382 0.6793857 1.6762573 1.1806251 0.0565879 -0.0000457 0.0103764 0.0052033 0.0022580 0.0029152 0.0012231 -0.0000146 -0.0000001 
0.0249382 0.6884212 1.6762573 1.1768894 0.0571883 -0.0001683 0.0107047 0.0053740 0.0022930 0.0030377 0.0012813 0.0000020 -0.0000177 
0.0249382 0.7018289 1.6762573 1.1711848 0.0581025 -0.0005095 0.0111473 0.0056019 0.0023484 0.0031970 0.0013577 0.0000315 -0.0000447 
0.0249382 0.7186130 1.6762573 1.1635008 0.0592201 -0.0010245 0.0116470 0.0058553 0.0024356 0.0033561 0.0014328 0.0000656 -0.0000676 
0.0249382 0.7375285 1.6762573 1.1535633 0.0605565 -0.0016184 0.0121489 0.0061038 0.0025416 0.0035036 0.0015149 0.0000817 -0.0000595 
0.0249382 0.7571725 1.6762573 1.1423935 0.0620534 -0.0023425 0.0127906 0.0064852 0.0026358 0.0036697 0.0016166 0.0000855 -0.0000384 
0.0249382 0.7760880 1.6762573 1.1315202 0.0634388 -0.0027882 0.0135092 0.0068953 0.0027152 0.0038987 0.0017252 0.0000479 -0.0000446 
0.0249382 0.7928721 1.6762573 1.1215194 0.0646396 -0.0028797 0.0141803 0.0072791 0.0028188 0.0040823 0.0018454 0.0000092 -0.0000369 
0.0249382 0.8062797 1.6762573 1.1129688 0.0655880 -0.0027845 0.0147642 0.0076203 0.0029159 0.0042280 0.0019422 -0.0000291 -0.0000229 
0.0249382 0.8153153 1.6762573 1.1069586 0.0661809 -0.0024798 0.0151892 0.0078665 0.0029795 0.0043432 0.0020161 -0.0000759 -0.0000139 
0.0249382 0.8192786 1.6762573 1.1043558 0.0664318 -0.0023287 0.0153672 0.0079657 0.0030052 0.0043964 0.0020458 -0.0001016 -0.0000145 
0.0249382 0.8192786 1.6762573 1.1043558 0.0664318 -0.0023287 0.0153672 0.0079657 0.0030052 0.0043964 0.0020458 -0.0001016 -0.0000145 
0.0249382 0.8224230 1.6762573 1.1022882 0.0666235 -0.0022152 0.0155139 0.0080527 0.0030258 0.0044354 0.0020752 -0.0001171 -0.0000115 
0.0249382 0.8295919 1.6762573 1.0975081 0.0670445 -0.0019834 0.0158184 0.0082325 0.0030690 0.0045168 0.0021295 -0.0001481 -0.0000112 
0.0249382 0.8402295 1.6762573 1.0900283 0.0677143 -0.0016576 0.0162138 0.0084389 0.0031269 0.0046480 0.0022077 -0.0001965 -0.0000045 
0.0249382 0.8535460 1.6762573 1.0794462 0.0686383 -0.0010128 0.0167501 0.0087467 0.0031822 0.0048212 0.0023094 -0.0002828 0.0000060 
0.0249382 0.8685536 1.6762573 1.0663193 0.0698255 0.0000927 0.0173683 0.0091554 0.0032307 0.0049822 0.0024203 -0.0003381 0.0000103 
0.0249382 0.8841391 1.6762573 1.0517914 0.0709963 0.0006983 0.0180114 0.0095976 0.0032674 0.0051464 0.0025020 -0.0003238 0.0000176 
0.0249382 0.8991467 1.6762573 1.0367546 0.0718658 0.0005315 0.0187449 0.0100800 0.0033202 0.0053447 0.0025664 -0.0002632 0.0000216 
0.0249382 0.9124632 1.6762573 1.0218849 0.0725241 0.0003476 0.0194257 0.0105422 0.0033865 0.0054970 0.0026336 -0.0002400 -0.0000070 
0.0249382 0.9231008 1.6762573 1.0084693 0.0729892 0.0002472 0.0199993 0.0109368 0.0034210 0.0056415 0.0026998 -0.0002401 -0.0000078 
0.0249382 0.9302697 1.6762573 0.9986601 0.0732277 0.0000847 0.0204312 0.0112902 0.0034139 0.0057272 0.0027406 -0.0002211 0.0000142 
0.0249382 0.9334141 1.6762573 0.9940994 0.0733098 -0.0000731 0.0206374 0.0114729 0.0034003 0.0057642 0.0027582 -0.0001974 0.0000326 
0.0249382 0.9334141 1.6762573 0.9940994 0.0733098 -0.0000731 0.0206374 0.0114729 0.0034003 0.0057642 0.0027582 -0.0001974 0.0000326 
0.0249382 0.9354334 1.6762573 0.9910950 0.0733570 -0.0001515 0.0207674 0.0115962 0.0033877 0.0057835 0.0027664 -0.0001804 0.0000434 
0.0249382 0.9400371 1.6762573 0.9840208 0.0734478 -0.0003373 0.0210804 0.0118944 0.0033497 0.0058364 0.0027885 -0.0001204 0.0000667 
0.0249382 0.9468684 1.6762573 0.9728467 0.0734847 -0.0006298 0.0216187 0.0124289 0.0032709 0.0059190 0.0028296 -0.0000367 0.0000840 
